GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
373.0	|	367.0	|	-2.460256161	|	-1.777240356	|	-18.96171322	|	-0.501	|	0.014	|	0.723	|	20.757	|	17.889	|	17.889	|	0.949	|	0.066	|	0.155	|	0.0
354.0	|	357.0	|	-2.405125245	|	-1.662619419	|	-18.87502458	|	-0.498	|	-0.079	|	0.724	|	16.648	|	18.391	|	18.391	|	0.944	|	0.045	|	0.194	|	0.0
340.0	|	348.0	|	-2.354834131	|	-1.549721059	|	-18.79281022	|	-0.495	|	-0.114	|	0.618	|	15.974	|	17.827	|	17.827	|	0.929	|	0.066	|	0.174	|	0.0
333.0	|	343.0	|	-2.286367389	|	-1.436682388	|	-18.71186003	|	-0.501	|	-0.104	|	0.51	|	20.573	|	17.764	|	17.764	|	0.93	|	0.055	|	0.208	|	0.0
329.0	|	345.0	|	-2.200730924	|	-1.30226754	|	-18.61220511	|	-0.55	|	-0.091	|	0.477	|	24.62	|	22.905	|	22.905	|	0.935	|	0.053	|	0.196	|	0.0
330.0	|	350.0	|	-2.102072324	|	-1.150058003	|	-18.4958021	|	-0.626	|	-0.107	|	0.52	|	28.176	|	27.356	|	27.356	|	0.927	|	0.045	|	0.224	|	0.0
330.0	|	355.0	|	-1.985697155	|	-0.987025872	|	-18.37040302	|	-0.705	|	-0.133	|	0.559	|	32.714	|	29.989	|	29.989	|	0.949	|	0.07	|	0.194	|	0.0
330.0	|	359.0	|	-1.846192868	|	-0.808310053	|	-18.23085597	|	-0.779	|	-0.104	|	0.587	|	38.172	|	33.813	|	33.813	|	0.921	|	0.068	|	0.231	|	0.0
333.0	|	361.0	|	-1.685616921	|	-0.619158737	|	-18.08132185	|	-0.805	|	-0.06	|	0.656	|	42.771	|	36.383	|	36.383	|	0.927	|	0.079	|	0.21	|	0.0
335.0	|	364.0	|	-1.50321699	|	-0.438383536	|	-17.93753768	|	-0.813	|	0.004	|	0.773	|	47.492	|	34.44	|	34.44	|	0.921	|	0.066	|	0.233	|	0.0
336.0	|	369.0	|	-1.310003756	|	-0.268972669	|	-17.80397778	|	-0.79	|	0.032	|	0.879	|	49.638	|	31.681	|	31.681	|	0.933	|	0.089	|	0.215	|	0.0
338.0	|	371.0	|	-1.127335905	|	-0.103702925	|	-17.67259102	|	-0.744	|	0.036	|	0.94	|	46.94	|	30.804	|	30.804	|	0.909	|	0.084	|	0.247	|	0.0
339.0	|	366.0	|	-0.964114726	|	0.065273634	|	-17.53532595	|	-0.692	|	0.031	|	0.915	|	41.912	|	31.932	|	31.932	|	0.938	|	0.076	|	0.226	|	0.0
338.0	|	366.0	|	-0.816684779	|	0.238154436	|	-17.39453238	|	-0.673	|	0.03	|	0.829	|	37.926	|	32.935	|	32.935	|	0.918	|	0.071	|	0.26	|	0.0
338.0	|	372.0	|	-0.678181798	|	0.411221157	|	-17.25481505	|	-0.674	|	0.052	|	0.727	|	35.044	|	32.935	|	32.935	|	0.917	|	0.081	|	0.238	|	0.0
340.0	|	376.0	|	-0.555093749	|	0.582736352	|	-17.1158629	|	-0.659	|	0.052	|	0.655	|	31.181	|	32.622	|	32.622	|	0.908	|	0.063	|	0.28	|	0.0
344.0	|	381.0	|	-0.441421114	|	0.746581575	|	-16.98518119	|	-0.636	|	0.077	|	0.652	|	28.054	|	30.678	|	30.678	|	0.899	|	0.086	|	0.25	|	0.0
346.0	|	387.0	|	-0.335335593	|	0.902350792	|	-16.86190187	|	-0.635	|	0.123	|	0.67	|	25.356	|	28.735	|	28.735	|	0.893	|	0.086	|	0.285	|	0.0
350.0	|	392.0	|	-0.234087901	|	1.053184779	|	-16.74137051	|	-0.637	|	0.145	|	0.692	|	23.7	|	27.669	|	27.669	|	0.905	|	0.073	|	0.259	|	0.0
357.0	|	397.0	|	-0.133765432	|	1.197954265	|	-16.62772707	|	-0.66	|	0.157	|	0.703	|	23.332	|	26.102	|	26.102	|	0.906	|	0.084	|	0.292	|	0.0
368.0	|	402.0	|	-0.029946372	|	1.335571885	|	-16.5206377	|	-0.669	|	0.163	|	0.708	|	24.068	|	24.347	|	24.347	|	0.906	|	0.084	|	0.264	|	0.0
381.0	|	403.0	|	0.07582491	|	1.467402575	|	-16.41913162	|	-0.671	|	0.174	|	0.712	|	24.497	|	22.905	|	22.905	|	0.891	|	0.081	|	0.302	|	0.0
392.0	|	404.0	|	0.19108105	|	1.586822622	|	-16.33103561	|	-0.657	|	0.189	|	0.731	|	26.459	|	19.77	|	19.77	|	0.894	|	0.109	|	0.276	|	0.0
394.0	|	403.0	|	0.30936232	|	1.713022778	|	-16.23364018	|	-0.651	|	0.196	|	0.725	|	27.257	|	21.651	|	21.651	|	0.897	|	0.079	|	0.311	|	0.0
391.0	|	402.0	|	0.437515532	|	1.839861675	|	-16.13590721	|	-0.662	|	0.218	|	0.714	|	29.28	|	21.902	|	21.902	|	0.888	|	0.091	|	0.28	|	0.0
387.0	|	401.0	|	0.576487099	|	1.97027095	|	-16.03422304	|	-0.677	|	0.222	|	0.693	|	32.101	|	22.842	|	22.842	|	0.891	|	0.083	|	0.319	|	0.0
